N;M;Insert Sort;Insert Sort with Binary Search
100;5;0.105458;0.040750
100;5;0.114000;0.041500
100;5;0.107334;0.041292
100;5;0.124750;0.042375
100;10;0.116833;0.041125
100;10;0.118250;0.041583
100;10;0.111583;0.041209
100;10;0.118167;0.041959
100;10;0.126084;0.041750
100;10;0.111458;0.041500
100;10;0.115209;0.041209
100;10;0.109000;0.041125
100;10;0.111500;0.044208
100;10;0.110708;0.041000
100;50;0.125500;0.056958
100;50;0.139083;0.055459
100;50;0.125375;0.054708
100;50;0.122625;0.053542
100;50;0.130125;0.054875
100;50;0.121042;0.053542
100;50;0.121916;0.053166
100;50;0.152084;0.057208
100;50;0.129375;0.054667
100;50;0.141042;0.056916
100;100;0.126458;0.051083
100;100;0.122834;0.050000
100;100;0.121625;0.050459
100;100;0.121834;0.050458
100;100;0.132041;0.052000
100;100;0.115792;0.049334
100;100;0.118000;0.049458
100;100;0.131083;0.074417
100;100;0.130333;0.052292
100;100;0.140292;0.052875
100;200;0.133708;0.056750
100;200;0.132125;0.059000
100;200;0.122208;0.054792
100;200;0.141000;0.057667
100;200;0.128125;0.055708
100;200;0.121000;0.054417
100;200;0.146125;0.058833
100;200;0.134250;0.056791
100;200;0.129459;0.055459
100;200;0.139917;0.057208
100;300;0.134459;0.065833
100;300;0.129625;0.064667
100;300;0.143292;0.068125
100;300;0.152625;0.069916
100;300;0.143209;0.068417
100;300;0.126042;0.063667
100;300;0.148958;0.069375
100;300;0.162833;0.072208
100;300;0.162166;0.072125
100;300;0.155833;0.073208
100;500;0.143042;0.073333
100;500;0.149791;0.077750
100;500;0.154250;0.076541
100;500;0.154083;0.078791
100;500;0.144917;0.073917
100;500;0.156292;0.079583
100;500;0.155541;0.077875
100;500;0.155541;0.080292
100;500;0.144167;0.074292
100;500;0.156625;0.081125
100;1000;0.189708;0.098417
100;1000;0.177500;0.093833
100;1000;0.162083;0.088000
100;1000;0.176625;0.092917
100;1000;0.175792;0.092625
100;1000;0.168791;0.089375
100;1000;0.175417;0.092375
100;1000;0.174125;0.092084
100;1000;0.169542;0.091125
100;1000;0.185875;0.095000
200;1;0.417334;0.108084
200;1;0.427958;0.107708
200;1;0.440250;0.108167
200;1;0.432333;0.109750
200;1;0.412250;0.106958
200;1;0.415709;0.107334
200;1;0.428250;0.108166
200;1;0.437917;0.108625
200;1;0.435000;0.107875
200;1;0.422250;0.107375
200;2;0.461584;0.112334
200;2;0.451250;0.111917
200;2;0.474917;0.113708
200;2;0.446125;0.111209
200;2;0.457750;0.111667
200;2;0.487792;0.113416
200;2;0.466458;0.113125
200;2;0.471958;0.112583
200;2;0.424250;0.109250
200;2;0.485125;0.113666
200;5;0.452458;0.114167
200;5;0.450791;0.110625
200;5;0.470709;0.113625
200;5;0.445042;0.110459
200;5;0.446666;0.110542
200;5;0.475666;0.112708
200;5;0.473833;0.112375
200;5;0.428250;0.109875
200;5;0.426875;0.109459
200;5;0.495666;0.114625
200;10;0.463209;0.111334
200;10;0.447083;0.110250
200;10;0.480458;0.113792
200;10;0.472625;0.116541
200;10;0.432459;0.109917
200;10;0.460583;0.110875
200;10;0.461167;0.111333
200;10;0.441750;0.111500
200;10;0.423375;0.110000
200;10;0.486208;0.113916
200;50;0.537291;0.166000
200;50;0.512708;0.162208
200;50;0.494125;0.158250
200;50;0.495625;0.160375
200;50;0.461583;0.153042
200;50;0.481167;0.158000
200;50;0.495375;0.158375
200;50;0.505500;0.160958
200;50;0.496666;0.161750
200;50;0.500959;0.159416
200;100;0.478875;0.144708
200;100;0.469084;0.142625
200;100;0.477792;0.144875
200;100;0.475666;0.144625
200;100;0.511750;0.149041
200;100;0.473792;0.144417
200;100;0.485791;0.146333
200;100;0.492084;0.149583
200;100;0.489208;0.145792
200;100;0.462042;0.144459
200;200;0.476083;0.158834
200;200;0.524625;0.167750
200;200;0.536958;0.165833
200;200;0.494416;0.162041
200;200;0.503375;0.164000
200;200;0.504042;0.163959
200;200;0.508833;0.164583
200;200;0.466167;0.157541
200;200;0.536000;0.169750
200;200;0.533667;0.169750
200;300;0.548416;0.205875
200;300;0.554709;0.206042
